exp_id,agent,space,step,collided
2,dqn,symmetric_2_space,446,True
2,dqn,symmetric_2_space,447,True
2,dqn,symmetric_2_space,448,True
2,dqn,symmetric_2_space,449,True
2,dqn,symmetric_2_space,450,True
2,dqn,symmetric_2_space,451,True
2,dqn,symmetric_2_space,452,True
2,dqn,symmetric_2_space,453,True
2,dqn,symmetric_2_space,454,True
2,dqn,symmetric_2_space,455,True
2,dqn,symmetric_2_space,456,True
2,dqn,symmetric_2_space,457,True
2,dqn,symmetric_2_space,458,True
2,dqn,symmetric_2_space,459,True
2,dqn,symmetric_2_space,460,True
2,dqn,symmetric_2_space,461,True
2,dqn,symmetric_2_space,462,True
2,dqn,symmetric_2_space,463,True
2,dqn,symmetric_2_space,464,True
2,dqn,symmetric_2_space,465,True
2,dqn,symmetric_2_space,466,True
2,dqn,symmetric_2_space,467,True
2,dqn,symmetric_2_space,468,True
2,dqn,symmetric_2_space,469,True
2,dqn,symmetric_2_space,470,True
2,dqn,symmetric_2_space,471,True
2,dqn,symmetric_2_space,472,True
2,dqn,symmetric_2_space,473,True
2,dqn,symmetric_2_space,474,True
2,dqn,symmetric_2_space,475,True
2,dqn,symmetric_2_space,476,True
2,dqn,symmetric_2_space,477,True
2,dqn,symmetric_2_space,478,True
2,dqn,symmetric_2_space,479,True
2,dqn,symmetric_2_space,480,True
2,dqn,symmetric_2_space,481,True
2,dqn,symmetric_2_space,482,True
2,dqn,symmetric_2_space,483,True
2,dqn,symmetric_2_space,484,True
2,dqn,symmetric_2_space,485,True
2,dqn,symmetric_2_space,486,True
2,dqn,symmetric_2_space,487,True
2,dqn,symmetric_2_space,488,True
2,dqn,symmetric_2_space,489,True
2,dqn,symmetric_2_space,490,True
2,dqn,symmetric_2_space,491,True
2,dqn,symmetric_2_space,492,True
2,dqn,symmetric_2_space,493,True
2,dqn,symmetric_2_space,494,True
2,dqn,symmetric_2_space,495,True
2,dqn,symmetric_2_space,496,True
2,dqn,symmetric_2_space,497,True
2,dqn,symmetric_2_space,498,True
2,dqn,symmetric_2_space,499,True
2,dqn,symmetric_2_space,500,True
