exp_id,agent,space,step,loc_x,lox_y
2,dqn,symmetric_2_space,244,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,245,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,246,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,247,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,248,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,249,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,250,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,251,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,252,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,253,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,254,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,255,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,256,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,257,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,258,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,259,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,260,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,261,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,262,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,263,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,264,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,265,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,266,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,267,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,268,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,269,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,270,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,271,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,272,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,273,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,274,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,275,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,276,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,277,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,278,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,279,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,280,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,281,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,282,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,283,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,284,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,285,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,286,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,287,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,288,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,289,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,290,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,291,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,292,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,293,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,294,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,295,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,296,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,297,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,298,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,299,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,300,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,301,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,302,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,303,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,304,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,305,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,306,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,307,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,308,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,309,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,310,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,311,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,312,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,313,3.3585786437626908,19.6999
